FTR,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HomeFormPoints,AwayFormPoints,HTWStreak3,HTWStreak5,HTLStreak3,HTLStreak5,ATWStreak3,ATWStreak5,ATLStreak3,ATLStreak5,HTGD,ATGD,PointsDiff,FormPointsDiff,HomeH2HStadiumPts,HomeH2HPts
NH,0.0,0.0,M,M,M,M,M,M,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
NH,0.0,0.0,M,M,M,M,M,M,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
NH,0.0,0.0,M,M,M,M,M,M,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
H,0.0,0.0,M,M,M,M,M,M,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
H,0.0,0.0,M,M,M,M,M,M,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
NH,0.0,0.0,M,M,M,M,M,M,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
NH,0.0,0.0,M,M,M,M,M,M,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
NH,0.0,0.0,M,M,M,M,M,M,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
NH,0.0,0.0,M,M,M,M,M,M,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
H,0.0,0.0,M,M,M,M,M,M,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
H,1.5,0.5,W,M,M,D,M,M,0.6,0.2,0,0,0,0,0,0,0,0,1.0,0.0,1.0,0.4,0,0
H,0.0,1.5,L,M,M,W,M,M,0.0,0.6,0,0,0,0,0,0,0,0,-0.5,0.5,-1.5,-0.6,0,0
NH,0.0,0.0,L,M,M,L,M,M,0.0,0.0,0,0,0,0,0,0,0,0,-0.5,-0.5,0.0,0.0,0,0
